Mouse.ID	Microbiota 	Diet	Gender	Genotype	Age.on.day.zero	Whole.gut.transit.time	Interval.between.FITC.gavage.and.euthanasia	Geometric.mean.of.fluorescence	Stomach.gut.segment.1	SI-1.gut.segment.2	SI-2.gut.segment.3	SI-3.gut.segment.4	SI-4.gut.segment.5	SI-5.gut.segment.6	SI-6.gut.segment.7	SI-7.gut.segment.8	SI-8.gut.segment.9	Cecum.gut.segment.10	Proximal.colon.gut.segment.11	Distal.colon.gut.segment.12
E4G2M1	BSH-low-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	50	Bland: 3.12; Turmeric: 3.02	2	7.96	0.0887	0.0038	0.0190	0.0225	0.0525	0.0033	0.0178	0.1272	0.4235	0.1780	0.0637	0.0000
E18G1M2	BSH-low-1	Turmeric	Male	C57BL/6 wild-type	42	5.98	2	7.98	0.0404	0.0034	0.0090	0.0028	0.0252	0.0143	0.2687	0.1633	0.2929	0.1206	0.0580	0.0013
E4G2M3	BSH-low-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	50	Bland: 2.92; Turmeric: 2.60	2	8.04	0.0132	0.0018	0.0147	0.0138	0.0002	0.0808	0.0386	0.3983	0.4050	0.0297	0.0039	0.0000
E15G1M3	BSH-low-2	Turmeric	Male	C57BL/6 wild-type	91	5.53	2	8.12	0.0019	0.0000	0.0000	0.0102	0.0116	0.2652	0.0017	0.0149	0.6629	0.0163	0.0152	0.0000
E6G6M4	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	45	5.27	2	8.18	0.0029	0.0000	0.0003	0.0071	0.0005	0.0018	0.1842	0.4016	0.3910	0.0078	0.0018	0.0008
E15G3M4	BSH-low-2	Turmeric	Female	C57BL/6 wild-type	93	5.07	2	8.29	0.0003	0.0000	0.0000	0.0010	0.0088	0.1226	0.1088	0.0888	0.6647	0.0029	0.0017	0.0002
E18G2M4	BSH-low-1	Turmeric	Female	C57BL/6 wild-type	43	4.85	2	8.42	0.0075	0.0007	0.0032	0.0025	0.0025	0.0143	0.1111	0.2330	0.6080	0.0133	0.0036	0.0002
E15G1M2	BSH-low-2	Turmeric	Male	C57BL/6 wild-type	91	5.47	2	8.45	0.0000	0.0000	0.0020	0.0027	0.0020	0.0122	0.5021	0.0054	0.0027	0.4153	0.0548	0.0007
E6G6M3	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	45	6.03	2	8.49	0.0034	0.0000	0.0001	0.0000	0.0041	0.0193	0.0432	0.3404	0.5716	0.0125	0.0054	0.0000
E3G2M4	BSH-low-1	Turmeric	Female	Swiss-Webster wild-type	49	Not measured	2	8.62	0.0000	0.0011	0.0000	0.0000	0.0004	0.0533	0.0463	0.1235	0.7753	0.0000	0.0002	0.0000
E15G3M1	BSH-low-2	Turmeric	Female	C57BL/6 wild-type	93	5.25	2	8.72	0.0065	0.0009	0.0025	0.0078	0.0019	0.0641	0.0022	0.0974	0.7054	0.0915	0.0197	0.0000
E3G2M2	BSH-low-1	Turmeric	Male	Swiss-Webster wild-type	49	Not measured	2	8.86	0.0105	0.0069	0.0054	0.0016	0.0283	0.0517	0.0794	0.1112	0.2518	0.3392	0.1139	0.0000
E3G2M1	BSH-low-1	Turmeric	Male	Swiss-Webster wild-type	49	Not measured	2	8.96	0.0039	0.0077	0.0022	0.0000	0.0140	0.0301	0.0117	0.1999	0.3818	0.2726	0.0741	0.0020
E15G1M1	BSH-low-2	Turmeric	Male	C57BL/6 wild-type	91	5.22	2	8.97	0.0238	0.0000	0.0127	0.0207	0.0041	0.0024	0.0648	0.0785	0.2681	0.4856	0.0324	0.0070
E28G3M1	BSH-low-1	Turmeric	Male	C57BL/6 wild-type	70	4.53	2	9.24	0.0000	0.0000	0.0000	0.0029	0.0058	0.0404	0.0337	0.3479	0.0049	0.3135	0.2510	0.0000
E13G2M3	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	36	5.05	4	9.83	0.0081	0.0005	0.0062	0.0186	0.0232	0.0024	0.0199	0.0341	0.1047	0.3790	0.3848	0.0186
E13G2M1	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	36	5.20	4	10.23	0.0000	0.0000	0.0013	0.0058	0.0005	0.0019	0.0080	0.0141	0.0565	0.5269	0.3768	0.0081
E13G2M4	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	36	5.00	4	10.23	0.0000	0.0010	0.0000	0.0028	0.0028	0.0030	0.0131	0.0218	0.0696	0.4541	0.4266	0.0051
E13G2M2	BSH-low-2	Turmeric	Female	Swiss-Webster wild-type	36	5.13	4	10.42	0.0000	0.0003	0.0003	0.0008	0.0005	0.0029	0.0008	0.0064	0.0134	0.4998	0.4743	0.0005
E4G2M4	BSH-low-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	50	Bland: 2.87 **	N/A	NA	NA											
E6G2M3	BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	45	4.17	2	5.70	0.0579	0.0083	0.0205	0.0698	0.2009	0.2453	0.3776	0.0187	0.0000	0.0000	0.0005	0.0005
E11G5M1	BSH-high-2	Turmeric	Female	C57BL/6 wild-type	55	4.78	2	6.62	0.0003	0.0003	0.0001	0.0010	0.0016	0.3941	0.5945	0.0011	0.0005	0.0047	0.0010	0.0007
E18G3M5	BSH-high-1	Turmeric	Male	C57BL/6 wild-type	49	3.88	2	6.96	0.0000	0.0002	0.0009	0.0048	0.0186	0.6441	0.0045	0.0060	0.3122	0.0038	0.0022	0.0027
E7G1M3	BSH-high-2	Turmeric	Female	C57BL/6 wild-type	46	4.67	2	7.09	0.0021	0.0000	0.0000	0.0027	0.0148	0.0047	0.8988	0.0182	0.0512	0.0058	0.0010	0.0008
E6G2M1	BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	45	2.78	2	7.25	0.0847	0.0117	0.0309	0.0047	0.0004	0.0712	0.1002	0.3981	0.2731	0.0194	0.0042	0.0013
E6G7M3	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	45	4.45	2	7.43	0.0090	0.0004	0.0023	0.0107	0.0215	0.0754	0.2592	0.6125	0.0006	0.0031	0.0028	0.0022
E7G1M5	BSH-high-2	Turmeric	Female	C57BL/6 wild-type	46	4.60	2	7.75	0.0006	0.0000	0.0000	0.0386	0.0296	0.0009	0.0151	0.9040	0.0081	0.0023	0.0009	0.0000
E6G2M4	BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	45	4.15	2	7.75	0.0268	0.0002	0.0010	0.0096	0.0052	0.1024	0.0627	0.5350	0.2494	0.0058	0.0013	0.0006
E6G7M2	BSH-high-2	Turmeric	Male	Swiss-Webster wild-type	51	4.12	2	7.85	0.0034	0.0008	0.0004	0.0166	0.0004	0.0030	0.0899	0.8626	0.0073	0.0099	0.0053	0.0004
